Grade,Topic,Learning Objective,English question,Answer_english
3,Counting,reads and writes numbers up to 999 using place value,The roll number of Gaurav is 150. Which number comes after Gaurav’s roll number?,151
3,Counting,reads and writes numbers up to 999 using place value,"In the number 572, which digit is in the hundreds place?",5
3,Counting,reads and writes numbers up to 999 using place value,"Rahul’s roll number is just after 299.
What is his roll number?",300
3,Counting,reads and writes numbers up to 999 using place value,"In the number 719, which digit is in the tens place?",1
3,Counting,reads and writes numbers up to 999 using place value,"I am a 3-digit number.My hundreds place is 4, my tens place is 2, and my ones place is 7. What number am I?",427
3,Counting,reads and writes numbers up to 999 using place value,"In the number 692, which digit is in the hundreds place and what is its value?","6, 600"
3,Counting,reads and writes numbers up to 999 using place value,"Use the digits 4, 9, and 0 to make the greatest 3-digit numbers",940
3,Counting,reads and writes numbers up to 999 using place value,"In the number 864, which digit is in the tens place?",6
3,Counting,reads and writes numbers up to 999 using place value,The roll number of Sneha is 26.What number comes just after Sneha’s roll number?,27
3,Counting,reads and writes numbers up to 999 using place value,"In the number 572, which digit is in the hundreds place?",5
3,Counting,reads and writes numbers up to 999 using place value,Neha’s scooter odometer shows 578 km.What is the digit in the tens place?,7
3,Compare numbers,compares numbers up to 999 for their value based on their place value,"Write the smallest number: 562, 625, 256, 265",256
3,Compare numbers,compares numbers up to 999 for their value based on their place value,"Write the biggest number: 709, 970, 907, 790",970
3,Compare numbers,compares numbers up to 999 for their value based on their place value,"Out of 912, 921, and 129, which is the biggest number?",921
3,Compare numbers,compares numbers up to 999 for their value based on their place value,"Write the smallest number in this group: 304, 430, 403, 340",304
3,Compare numbers,compares numbers up to 999 for their value based on their place value,"Arrange the numbers from smallest to biggest: 245, 542, 452, 524","245,452,524,542"
3,Compare numbers,compares numbers up to 999 for their value based on their place value,"Arrange the numbers from biggest to smallest: 679, 967, 796, 769","967, 796, 769, 679 "
3,Compare numbers,compares numbers up to 999 for their value based on their place value,"Riya has ₹ 324 , and her brother has ₹ 243. Who has more money?",Riya
3,Compare numbers,compares numbers up to 999 for their value based on their place value,A shop in Delhi sold 456 pencils on Monday and 654 pencils on Tuesday. On which day did it sell more pencils?,Tuesday
3,Compare numbers,compares numbers up to 999 for their value based on their place value,A bus carried 375 passengers in the morning and 537 passengers in the evening. Which trip had fewer passengers?,morning
3,Compare numbers,compares numbers up to 999 for their value based on their place value,"In a cricket match, India scored 447 runs and Australia scored 374 runs. Who scored more runs?",India
3,Compare numbers,compares numbers up to 999 for their value based on their place value,Ram has 289 mangoes and his neighbor Shyam has 298 mangoes. Who has fewer mangoes?,Ram
3,addition,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",A library has 124 storybooks and 89 science books. How many books are there in total in the library?,213 books
3,addition,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",Ravi collected 78 stamps last year and 95 stamps this year. How many stamps has Ravi collected in total?,173 stamps
3,addition,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999","In a school function, there were 135 boys and 128 girls present. How many students were there in total at the function?",263 students
3,addition,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",A fruit seller sold 67 apples in the morning and 84 apples in the evening. How many apples did he sell in total?,151 apples
3,addition,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",A bus has 42 passengers in the morning and 58 passengers in the afternoon. How many passengers traveled on the bus in total?,100 passengers
3,addition,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",A farmer harvested 93 kg of wheat from one field and 76 kg from another field. How much wheat did the farmer harvest in total?,169 kg
3,addition,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999","In a cricket match, Team A scored 168 runs in the first innings and 195 runs in the second innings. How many runs did Team A score in total?",363 runs
3,addition,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",Rina collected 48 shells on the beach in the morning and 39 more in the evening. How many shells did she collect in total?,87 shells
3,addition,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",Priya read 186 pages of a book on Monday and 142 pages on Tuesday. How many pages did she read in total?,328 pages
3,addition,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",A farmer harvested 275 kg of wheat in the first week and 189 kg in the second week. How much wheat did he harvest in total?,464 kg
3,addition,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999","Meera bought 129 mangoes for a festival. Later, she bought 218 more. How many mangoes does she have now?",347 mangoes
